"id","startDate","index","distance","elapsedTime","timePerMile"
1331484349,"2017-12-29",7,868.4,233,431.8
1333600571,"2017-12-30",1,1609.8,446,445.87
1333600571,"2017-12-30",2,1609.4,457,456.98
1333600571,"2017-12-30",3,1611.9,462,461.27
1333600571,"2017-12-30",4,1607.8,480,480.46
1333600571,"2017-12-30",5,1334.7,361,435.28
1335851934,"2018-01-01",1,1611.4,489,488.37
1335851934,"2018-01-01",2,1610.3,498,497.7
1335851934,"2018-01-01",3,1608.2,509,509.36
1335851934,"2018-01-01",4,1611,500,499.48
1335851934,"2018-01-01",5,1606.2,470,470.92
1335851934,"2018-01-01",6,33.9,10,474.73
1338437328,"2018-01-03",1,1609.5,470,469.95
1338437328,"2018-01-03",2,1613.5,507,505.69
1338437328,"2018-01-03",3,1605.8,472,473.04
1338437328,"2018-01-03",4,1608.6,472,472.22
1338437328,"2018-01-03",5,58.5,17,467.67
1341499390,"2018-01-05",1,1610.7,480,479.59
1341499390,"2018-01-05",2,1611.4,479,478.39
1341499390,"2018-01-05",3,1608,480,480.4
1341499390,"2018-01-05",4,1607.9,511,511.46
1341499390,"2018-01-05",5,980,288,472.95
1344112070,"2018-01-06",1,1609.8,451,450.87
1344112070,"2018-01-06",2,1612.9,455,454
1344112070,"2018-01-06",3,1605.9,477,478.02
1344112070,"2018-01-06",4,1611.6,470,469.34
1344112070,"2018-01-06",5,820.3,233,457.12
1346460542,"2018-01-08",1,1610.4,459,458.7
1346460542,"2018-01-08",2,1610.6,462,461.64
1346460542,"2018-01-08",3,1607.1,475,475.66
1346460542,"2018-01-08",4,1611.6,478,477.33
1346460542,"2018-01-08",5,823,238,465.4
1349588060,"2018-01-10",1,1611,457,456.53
1349588060,"2018-01-10",2,1608.4,478,478.28
1349588060,"2018-01-10",3,1610.9,473,472.54
1349588060,"2018-01-10",4,1609.5,473,472.95
1349588060,"2018-01-10",5,813,221,437.47
1352779083,"2018-01-12",1,1611.4,441,440.44
1352779083,"2018-01-12",2,1608.4,467,467.27
1352779083,"2018-01-12",3,1611,470,469.52
1352779083,"2018-01-12",4,1608,448,448.37
1352779083,"2018-01-12",5,828.6,227,440.89
1355676694,"2018-01-13",1,1611.1,430,429.53
1355676694,"2018-01-13",2,1609.9,466,465.84
1355676694,"2018-01-13",3,1614.5,440,438.59
1355676694,"2018-01-13",4,1603.3,426,427.6
1355676694,"2018-01-13",5,813.7,210,415.34
1358048040,"2018-01-15",1,1612.4,477,476.09
1358048040,"2018-01-15",2,1608,513,513.43
1358048040,"2018-01-15",3,1609.2,485,485.04
1358048040,"2018-01-15",4,1608.2,436,436.31
1358048040,"2018-01-15",5,944.3,252,429.48
1361109741,"2018-01-17",1,1610.6,447,446.65
1361109741,"2018-01-17",2,1608.5,455,455.24
