energyType,epochTimestamp,kWh,dateTime
gas,1672668000,0.0,2023-01-02T14:00:00Z
electricity,1672669800,0.488,2023-01-02T14:30:00Z
gas,1672669800,0.0,2023-01-02T14:30:00Z
electricity,1672671600,1.579,2023-01-02T15:00:00Z
gas,1672671600,0.0,2023-01-02T15:00:00Z
electricity,1672673400,1.493,2023-01-02T15:30:00Z
gas,1672673400,0.0,2023-01-02T15:30:00Z
electricity,1672675200,1.691,2023-01-02T16:00:00Z
gas,1672675200,0.0,2023-01-02T16:00:00Z
electricity,1672677000,0.704,2023-01-02T16:30:00Z
gas,1672677000,0.0,2023-01-02T16:30:00Z
electricity,1672678800,0.435,2023-01-02T17:00:00Z
gas,1672678800,7.79,2023-01-02T17:00:00Z
electricity,1672680600,1.375,2023-01-02T17:30:00Z
gas,1672680600,7.168,2023-01-02T17:30:00Z
electricity,1672682400,1.259,2023-01-02T18:00:00Z
gas,1672682400,9.912,2023-01-02T18:00:00Z
electricity,1672684200,0.491,2023-01-02T18:30:00Z
gas,1672684200,8.652,2023-01-02T18:30:00Z
electricity,1672686000,1.75,2023-01-02T19:00:00Z
gas,1672686000,8.491,2023-01-02T19:00:00Z
electricity,1672687800,1.625,2023-01-02T19:30:00Z
gas,1672687800,8.794,2023-01-02T19:30:00Z
electricity,1672689600,0.655,2023-01-02T20:00:00Z
gas,1672689600,5.852,2023-01-02T20:00:00Z
electricity,1672691400,0.757,2023-01-02T20:30:00Z
gas,1672691400,8.969,2023-01-02T20:30:00Z
electricity,1672693200,0.21,2023-01-02T21:00:00Z
gas,1672693200,4.719,2023-01-02T21:00:00Z
electricity,1672695000,0.362,2023-01-02T21:30:00Z
gas,1672695000,8.782,2023-01-02T21:30:00Z
electricity,1672696800,0.24,2023-01-02T22:00:00Z
gas,1672696800,0.0,2023-01-02T22:00:00Z
electricity,1672698600,0.181,2023-01-02T22:30:00Z
gas,1672698600,0.0,2023-01-02T22:30:00Z
electricity,1672700400,0.129,2023-01-02T23:00:00Z
gas,1672700400,0.0,2023-01-02T23:00:00Z
electricity,1672702200,1.036,2023-01-02T23:30:00Z
gas,1672702200,0.0,2023-01-02T23:30:00Z
electricity,1672704000,0.56,2023-01-03T00:00:00Z
gas,1672704000,0.0,2023-01-03T00:00:00Z
electricity,1672705800,0.396,2023-01-03T00:30:00Z
gas,1672705800,0.0,2023-01-03T00:30:00Z
electricity,1672707600,0.843,2023-01-03T01:00:00Z
gas,1672707600,0.0,2023-01-03T01:00:00Z
electricity,1672709400,0.327,2023-01-03T01:30:00Z
gas,1672709400,0.0,2023-01-03T01:30:00Z
electricity,1672711200,0.232,2023-01-03T02:00:00Z
gas,1672711200,0.0,2023-01-03T02:00:00Z
electricity,1672713000,1.052,2023-01-03T02:30:00Z
gas,1672713000,0.0,2023-01-03T02:30:00Z
electricity,1672714800,1.545,2023-01-03T03:00:00Z
gas,1672714800,0.0,2023-01-03T03:00:00Z
electricity,1672716600,1.147,2023-01-03T03:30:00Z
gas,1672716600,0.0,2023-01-03T03:30:00Z
electricity,1672718400,1.374,2023-01-03T04:00:00Z
gas,1672718400,0.0,2023-01-03T04:00:00Z
electricity,1672720200,1.101,2023-01-03T04:30:00Z
gas,1672720200,0.0,2023-01-03T04:30:00Z
electricity,1672722000,1.286,2023-01-03T05:00:00Z
gas,1672722000,9.669,2023-01-03T05:00:00Z
electricity,1672723800,0.425,2023-01-03T05:30:00Z
gas,1672723800,8.499,2023-01-03T05:30:00Z
electricity,1672725600,1.171,2023-01-03T06:00:00Z
gas,1672725600,5.848,2023-01-03T06:00:00Z
electricity,1672727400,1.253,2023-01-03T06:30:00Z
gas,1672727400,5.386,2023-01-03T06:30:00Z
electricity,1672729200,0.272,2023-01-03T07:00:00Z
gas,1672729200,6.532,2023-01-03T07:00:00Z
electricity,1672731000,0.406,2023-01-03T07:30:00Z
gas,1672731000,11.607,2023-01-03T07:30:00Z
electricity,1672732800,0.433,2023-01-03T08:00:00Z
gas,1672732800,10.491,2023-01-03T08:00:00Z
electricity,1672734600,1.773,2023-01-03T08:30:00Z
gas,1672734600,3.276,2023-01-03T08:30:00Z
electricity,1672736400,0.658,2023-01-03T09:00:00Z
gas,1672736400,0.0,2023-01-03T09:00:00Z
electricity,1672738200,0.932,2023-01-03T09:30:00Z
gas,1672738200,0.0,2023-01-03T09:30:00Z
electricity,1672740000,0.723,2023-01-03T10:00:00Z
gas,1672740000,0.0,2023-01-03T10:00:00Z
electricity,1672741800,1.286,2023-01-03T10:30:00Z
gas,1672741800,0.0,2023-01-03T10:30:00Z
electricity,1672743600,1.457,2023-01-03T11:00:00Z
gas,1672743600,0.0,2023-01-03T11:00:00Z
electricity,1672745400,0.37,2023-01-03T11:30:00Z
gas,1672745400,0.0,2023-01-03T11:30:00Z
electricity,1672747200,1.329,2023-01-03T12:00:00Z
gas,1672747200,0.0,2023-01-03T12:00:00Z
electricity,1672749000,1.402,2023-01-03T12:30:00Z
gas,1672749000,0.0,2023-01-03T12:30:00Z
electricity,1672750800,0.359,2023-01-03T13:00:00Z
gas,1672750800,0.0,2023-01-03T13:00:00Z
electricity,1672752600,0.174,2023-01-03T13:30:00Z
gas,1672752600,0.0,2023-01-03T13:30:00Z
electricity,1672754400,1.577,2023-01-03T14:00:00Z
gas,1672754400,0.0,2023-01-03T14:00:00Z
electricity,1672756200,1.429,2023-01-03T14:30:00Z
gas,1672756200,0.0,2023-01-03T14:30:00Z
electricity,1672758000,1.374,2023-01-03T15:00:00Z
gas,1672758000,0.0,2023-01-03T15:00:00Z
electricity,1672759800,0.939,2023-01-03T15:30:00Z
gas,1672759800,0.0,2023-01-03T15:30:00Z
electricity,1672761600,0.818,2023-01-03T16:00:00Z
gas,1672761600,0.0,2023-01-03T16:00:00Z
electricity,1672763400,0.904,2023-01-03T16:30:00Z
gas,1672763400,0.0,2023-01-03T16:30:00Z
electricity,1672765200,0.552,2023-01-03T17:00:00Z
gas,1672765200,3.12,2023-01-03T17:00:00Z
electricity,1672767000,0.926,2023-01-03T17:30:00Z
gas,1672767000,7.728,2023-01-03T17:30:00Z
electricity,1672768800,0.747,2023-01-03T18:00:00Z
gas,1672768800,4.46,2023-01-03T18:00:00Z
electricity,1672770600,1.34,2023-01-03T18:30:00Z
gas,1672770600,2.233,2023-01-03T18:30:00Z
electricity,1672772400,0.423,2023-01-03T19:00:00Z
gas,1672772400,1.947,2023-01-03T19:00:00Z
electricity,1672774200,0.607,2023-01-03T19:30:00Z
gas,1672774200,6.998,2023-01-03T19:30:00Z
electricity,1672776000,0.537,2023-01-03T20:00:00Z
gas,1672776000,6.956,2023-01-03T20:00:00Z
electricity,1672777800,0.683,2023-01-03T20:30:00Z
gas,1672777800,7.873,2023-01-03T20:30:00Z
electricity,1672779600,1.496,2023-01-03T21:00:00Z
gas,1672779600,3.97,2023-01-03T21:00:00Z
electricity,1672781400,0.726,2023-01-03T21:30:00Z
gas,1672781400,9.983,2023-01-03T21:30:00Z
electricity,1672783200,1.632,2023-01-03T22:00:00Z
gas,1672783200,0.0,2023-01-03T22:00:00Z
electricity,1672785000,0.423,2023-01-03T22:30:00Z
gas,1672785000,0.0,2023-01-03T22:30:00Z
electricity,1672786800,1.273,2023-01-03T23:00:00Z
gas,1672786800,0.0,2023-01-03T23:00:00Z
electricity,1672788600,1.189,2023-01-03T23:30:00Z
gas,1672788600,0.0,2023-01-03T23:30:00Z
electricity,1672790400,0.566,2023-01-04T00:00:00Z
gas,1672790400,0.0,2023-01-04T00:00:00Z
electricity,1672792200,0.854,2023-01-04T00:30:00Z
gas,1672792200,0.0,2023-01-04T00:30:00Z
electricity,1672794000,1.728,2023-01-04T01:00:00Z
gas,1672794000,0.0,2023-01-04T01:00:00Z
electricity,1672795800,1.23,2023-01-04T01:30:00Z
gas,1672795800,0.0,2023-01-04T01:30:00Z
electricity,1672797600,0.755,2023-01-04T02:00:00Z
gas,1672797600,0.0,2023-01-04T02:00:00Z
electricity,1672799400,1.517,2023-01-04T02:30:00Z
gas,1672799400,0.0,2023-01-04T02:30:00Z
electricity,1672801200,1.528,2023-01-04T03:00:00Z
gas,1672801200,0.0,2023-01-04T03:00:00Z
electricity,1672803000,1.19,2023-01-04T03:30:00Z
gas,1672803000,0.0,2023-01-04T03:30:00Z
electricity,1672804800,1.737,2023-01-04T04:00:00Z
gas,1672804800,0.0,2023-01-04T04:00:00Z
electricity,1672806600,1.604,2023-01-04T04:30:00Z
gas,1672806600,0.0,2023-01-04T04:30:00Z
electricity,1672808400,1.524,2023-01-04T05:00:00Z
gas,1672808400,2.438,2023-01-04T05:00:00Z
electricity,1672810200,1.003,2023-01-04T05:30:00Z
gas,1672810200,8.521,2023-01-04T05:30:00Z
electricity,1672812000,1.185,2023-01-04T06:00:00Z
gas,1672812000,9.038,2023-01-04T06:00:00Z
electricity,1672813800,1.241,2023-01-04T06:30:00Z
gas,1672813800,5.114,2023-01-04T06:30:00Z
electricity,1672815600,1.685,2023-01-04T07:00:00Z
gas,1672815600,3.439,2023-01-04T07:00:00Z
electricity,1672817400,1.327,2023-01-04T07:30:00Z
gas,1672817400,4.912,2023-01-04T07:30:00Z
electricity,1672819200,0.398,2023-01-04T08:00:00Z
gas,1672819200,12.112,2023-01-04T08:00:00Z
electricity,1672821000,1.672,2023-01-04T08:30:00Z
gas,1672821000,3.481,2023-01-04T08:30:00Z
electricity,1672822800,1.665,2023-01-04T09:00:00Z
gas,1672822800,0.0,2023-01-04T09:00:00Z
electricity,1672824600,1.532,2023-01-04T09:30:00Z
gas,1672824600,0.0,2023-01-04T09:30:00Z
electricity,1672826400,1.365,2023-01-04T10:00:00Z
gas,1672826400,0.0,2023-01-04T10:00:00Z
electricity,1672828200,1.155,2023-01-04T10:30:00Z
gas,1672828200,0.0,2023-01-04T10:30:00Z
electricity,1672830000,1.211,2023-01-04T11:00:00Z
gas,1672830000,0.0,2023-01-04T11:00:00Z
electricity,1672831800,1.364,2023-01-04T11:30:00Z
gas,1672831800,0.0,2023-01-04T11:30:00Z
electricity,1672833600,1.536,2023-01-04T12:00:00Z
gas,1672833600,0.0,2023-01-04T12:00:00Z
electricity,1672835400,0.438,2023-01-04T12:30:00Z
gas,1672835400,0.0,2023-01-04T12:30:00Z
electricity,1672837200,0.281,2023-01-04T13:00:00Z
gas,1672837200,0.0,2023-01-04T13:00:00Z
electricity,1672839000,0.762,2023-01-04T13:30:00Z
gas,1672839000,0.0,2023-01-04T13:30:00Z
electricity,1672840800,1.619,2023-01-04T14:00:00Z
gas,1672840800,0.0,2023-01-04T14:00:00Z
electricity,1672842600,0.408,2023-01-04T14:30:00Z
gas,1672842600,0.0,2023-01-04T14:30:00Z
electricity,1672844400,1.426,2023-01-04T15:00:00Z
gas,1672844400,0.0,2023-01-04T15:00:00Z
electricity,1672846200,0.836,2023-01-04T15:30:00Z
gas,1672846200,0.0,2023-01-04T15:30:00Z
electricity,1672848000,0.789,2023-01-04T16:00:00Z
gas,1672848000,0.0,2023-01-04T16:00:00Z
electricity,1672849800,0.133,2023-01-04T16:30:00Z
gas,1672849800,0.0,2023-01-04T16:30:00Z
electricity,1672851600,1.315,2023-01-04T17:00:00Z
gas,1672851600,3.126,2023-01-04T17:00:00Z
electricity,1672853400,0.555,2023-01-04T17:30:00Z
gas,1672853400,13.14,2023-01-04T17:30:00Z
electricity,1672855200,1.241,2023-01-04T18:00:00Z
gas,1672855200,8.994,2023-01-04T18:00:00Z
electricity,1672857000,1.74,2023-01-04T18:30:00Z
gas,1672857000,13.931,2023-01-04T18:30:00Z
electricity,1672858800,0.689,2023-01-04T19:00:00Z
gas,1672858800,14.267,2023-01-04T19:00:00Z
electricity,1672860600,1.214,2023-01-04T19:30:00Z
gas,1672860600,10.965,2023-01-04T19:30:00Z
electricity,1672862400,0.494,2023-01-04T20:00:00Z
gas,1672862400,14.804,2023-01-04T20:00:00Z
electricity,1672864200,0.501,2023-01-04T20:30:00Z
gas,1672864200,1.323,2023-01-04T20:30:00Z
electricity,1672866000,0.48,2023-01-04T21:00:00Z
gas,1672866000,15.29,2023-01-04T21:00:00Z
electricity,1672867800,1.6,2023-01-04T21:30:00Z
gas,1672867800,1.321,2023-01-04T21:30:00Z
electricity,1672869600,0.108,2023-01-04T22:00:00Z
gas,1672869600,0.0,2023-01-04T22:00:00Z
electricity,1672871400,0.608,2023-01-04T22:30:00Z
gas,1672871400,0.0,2023-01-04T22:30:00Z
electricity,1672873200,1.079,2023-01-04T23:00:00Z
gas,1672873200,0.0,2023-01-04T23:00:00Z
electricity,1672875000,0.484,2023-01-04T23:30:00Z
gas,1672875000,0.0,2023-01-04T23:30:00Z
electricity,1672876800,0.794,2023-01-05T00:00:00Z
gas,1672876800,0.0,2023-01-05T00:00:00Z
electricity,1672878600,1.555,2023-01-05T00:30:00Z
gas,1672878600,0.0,2023-01-05T00:30:00Z
electricity,1672880400,1.688,2023-01-05T01:00:00Z
gas,1672880400,0.0,2023-01-05T01:00:00Z
electricity,1672882200,1.323,2023-01-05T01:30:00Z
